id,CVV,mass
1,3.135599,
2,-0.34681267,
3,-0.63268596,
4,0.4425275,
5,-2.1143417,
6,1.5929447,
7,-0.24664289,
8,0.009935901,
9,7.439088,
10,1.146788,
11,2.446684,
12,2.3251505,
13,2.916768,
14,4.6444635,
15,-1.7447059,
16,8.009456,
17,0.23791356,
18,-0.17043582,
19,-0.40831053,
20,-0.16485989,
21,-3.3474276,
22,0.26934335,
23,-0.5049011,
24,2.5154612,
25,7.286671,
26,-0.6250002,
27,0.32974672,
28,1.0592705,
29,5.4440346,
30,0.2744348,
31,5.988392,
32,3.7402937,
33,-0.87944853,
34,-0.52374196,
35,0.35611528,
36,-0.9191833,
37,-0.20880651,
38,-0.31009755,
39,0.035237297,
40,0.2744348,
41,0.054820284,
42,0.28655502,
43,,
44,-0.906966,
45,-0.5309397,
46,8.02849,
47,0.350078,
48,0.65169936,
49,-0.088766366,
50,0.2759315,
51,-0.0014717886,
52,-0.17043582,
53,0.41645485,
54,1.2309737,
55,3.8037271,
56,-0.5584235,
57,0.9195132,
58,0.03568279,
59,0.23841764,
60,-0.19385552,
61,-1.2554076,
62,0.037072644,
63,-0.84273446,
64,4.811046,
65,,
66,6.6918797,
67,,
68,3.184534,
69,,
70,1.8872875,
71,0.15119526,
72,6.1953993,
73,-0.034180753,
74,0.69048464,
75,1.2309737,
76,0.015713442,
77,0.7885601,
78,2.5308552,
79,5.6336184,
80,0.5586165,
81,-0.71999437,
82,1.3798989,
83,-0.41216826,
84,-0.9191833,
85,3.5297797,
86,0.69048464,
87,0.8644147,
88,0.8493636,
89,8.302126,
90,0.14416638,
91,,
92,0.28434148,
93,0.46772712,
94,0.8089427,
95,0.13349599,
96,0.12633622,
97,0.2974952,
98,-0.19890346,
99,2.3764582,
100,-0.7906725,
101,-0.2682013,
102,,
103,-0.906966,
104,7.0733604,
105,1.6923527,
106,-2.974648,
107,6.1953993,
108,6.743906,
109,,
110,0.03568279,
111,0.15742856,
112,2.218117,
113,-0.34681267,
114,,
115,-2.9582012,
116,-0.39528817,
117,-4.2651515,
118,0.28434148,
119,,
120,,
121,-1.4923289,
122,,
123,-2.199531,
124,5.7427053,
125,-0.1934027,
126,0.14416638,
127,0.13313246,
128,-0.11447414,
129,1.37248,
130,-3.546329,
131,,
132,0.6492202,
133,-0.3294137,
134,,
135,1.2252642,
136,0.14943421,
137,0.8089427,
138,0.805834,
139,-2.199531,
140,6.140356,
141,1.6923527,
142,-0.25676024,
143,-0.0059891706,
144,,
145,-2.5611773,
146,6.798431E-4,
147,-1.1891886,
148,0.1007803,
149,0.1966168,
150,-1.405616,
151,-1.0536748,
152,7.0031824,
153,1.8872875,
154,-0.2682013,
155,-8.02849,
156,5.7427053,
157,,
158,-0.0026008817,
159,0.1007803,
160,-0.034180753,
161,3.8208578,
162,0.2974952,
163,1.7370584,
164,5.988392,
165,0.1966168,
166,0.08638866,
167,-0.20880651,
168,-8.02849,
169,8.2341795,
170,-0.7906725,
171,6.0963354,
172,-0.19890346,
173,-1.1891886,
174,-3.546329,
175,3.8208578,
176,-2.9582012,
177,-0.93778443,
178,1.3798989,
179,0.15742856,
180,,
181,,
182,-0.25676024,
183,3.184534,
184,6.6918797,
185,2.2645473,
186,0.32974672,
187,6.798431E-4,
188,3.8037271,
189,-0.11447414,
190,1.7370584,
191,-0.0026008817,
192,0.76661444,
193,0.76661444,
194,6.0963354,
195,0.08638866,
196,2.2645473,
197,,
198,-0.93778443,
199,2.5308552,
200,-0.3294137,
1,3.240254,
2,-0.53410816,
3,2.500831,
4,2.4380598,
5,-2.2263694,
6,2.2959962,
7,0.17010528,
8,0.29205337,
9,8.406974,
10,,
11,2.41637,
12,-1.5392469,
13,4.9222293,
14,8.432411,
15,-1.7086117,
16,8.970624,
17,0.21675691,
18,-0.22210915,
19,-0.51510924,
20,4.143478,
21,-3.6380715,
22,0.58802205,
23,4.458454,
24,8.741496,
25,5.0161657,
26,0.66907334,
27,4.498336,
28,-5.6437674,
29,8.526123,
30,0.48648193,
31,1.5710106,
32,1.366837,
33,7.961316,
34,0.038471945,
35,7.199811,
36,5.853344,
37,2.3667543,
38,-0.15241759,
39,0.09309952,
40,0.48648193,
41,0.01986815,
42,0.52008665,
43,-0.29641914,
44,-0.52133,
45,8.824025,
46,7.3514447,
47,2.5115848,
48,2.0187159,
49,-0.6673144,
50,1.218338,
51,1.436911,
52,-0.22210915,
53,-2.8644211,
54,0.43868226,
55,8.949689,
56,,
57,1.8319256,
58,0.07095048,
59,0.45798498,
60,-0.25347197,
61,-2.8512602,
62,0.27511498,
63,2.4451077,
64,8.803799,
65,,
66,-7.207024,
67,,
68,8.930785,
69,,
70,4.341014,
71,-5.1676083,
72,8.966059,
73,0.004928559,
74,1.8439881,
75,-0.50849074,
76,,
77,-2.8644211,
78,7.9085774,
79,6.700231,
80,0.73170567,
81,1.5760963,
82,4.6684937,
83,-0.124261215,
84,5.853344,
85,-4.8347273,
86,-0.049028695,
87,,
88,8.544783,
89,8.926743,
90,0.2917459,
91,,
92,-0.20795941,
93,5.995051,
94,,
95,,
96,5.220563,
97,0.78790724,
98,-0.12080539,
99,1.4548218,
100,-0.12500814,
101,3.8662972,
102,0.038471945,
103,-0.52133,
104,8.874694,
105,6.4788847,
106,-5.6437674,
107,1.5760963,
108,8.238989,
109,,
110,-0.50849074,
111,4.4855256,
112,7.5463214,
113,0.92809784,
114,,
115,-8.228908,
116,-0.15292628,
117,-1.3822485,
118,-0.20795941,
119,1.218338,
120,,
121,7.1666627,
122,,
123,-7.1302156,
124,8.553976,
125,2.4733162,
126,0.2917459,
127,4.018859,
128,-0.5259603,
129,4.9721365,
130,-0.7143592,
131,,
132,-1.3822485,
133,-0.19212408,
134,,
135,5.001586,
136,4.5064707,
137,0.97639483,
138,2.4733162,
139,-7.1302156,
140,8.929183,
141,0.13963693,
142,,
143,0.5038686,
144,-1.2210017,
145,-1.3690059,
146,0.11529641,
147,-0.7368455,
148,-1.0114973,
149,0.29949138,
150,4.72231,
151,-0.31885645,
152,8.553976,
153,7.436194,
154,3.8662972,
155,7.3514447,
156,0.29205337,
157,-3.0834198,
158,0.17983301,
159,0.15185781,
160,0.004928559,
161,0.2331754,
162,0.78790724,
163,2.1525247,
164,-3.0834198,
165,0.29949138,
166,1.2170686,
167,2.3667543,
168,-8.947991,
169,8.983496,
170,8.526123,
171,-0.8237723,
172,-0.12080539,
173,-0.7368455,
174,-2.2263694,
175,,
176,,
177,-3.0498257,
178,4.6684937,
179,-1.0114973,
180,,
181,,
182,1.5710106,
183,8.930785,
184,-7.207024,
185,0.86003536,
186,4.7452474,
187,0.11529641,
188,7.1666627,
189,0.2331754,
190,2.1525247,
191,0.17983301,
192,-1.3971257,
193,4.5064707,
194,8.983496,
195,1.2170686,
196,0.86003536,
197,,
198,-3.0498257,
199,7.9085774,
200,-0.049028695,
1,8.552216,
2,-0.5434701,
3,5.7467003,
4,3.6036348,
5,,
6,3.0936024,
7,3.9778864,
8,0.3806234,
9,8.99599,
10,,
11,-0.65004134,
12,0.4854909,
13,6.751159,
14,7.781596,
15,-1.0871766,
16,8.975782,
17,1.632946,
18,7.570219,
19,1.6038733,
20,8.973557,
21,1.9930998,
22,-3.5859036,
23,5.4799013,
24,8.9403925,
25,-4.5016117,
26,1.8598452,
27,8.876643,
28,2.4539204,
29,8.687951,
30,-2.1533873,
31,2.0525463,
32,-8.429398,
33,7.9867396,
34,0.25523728,
35,6.1907563,
36,8.989911,
37,8.20816,
38,0.2035721,
39,0.15769187,
40,-0.043684065,
41,-0.31273642,
42,0.65598476,
43,-0.3108868,
44,-1.3913145,
45,5.5852804,
46,6.080457,
47,8.996328,
48,1.351682,
49,0.25122595,
50,1.0029598,
51,7.720782,
52,0.6100926,
53,8.999896,
54,3.6631906,
55,8.688185,
56,3.6212678,
57,2.6675138,
58,-0.50319076,
59,0.65523016,
60,1.4821014,
61,-0.411924,
62,0.4745099,
63,4.6806927,
64,8.763182,
65,-1.0665804,
66,,
67,-0.9372339,
68,8.789987,
69,1.5692,
70,1.5279313,
71,1.1140907,
72,8.967758,
73,,
74,-0.9036679,
75,-4.0246353,
76,,
77,3.6212678,
78,8.200756,
79,2.2721899,
80,0.9076381,
81,4.820986,
82,-2.4366891,
83,0.18227485,
84,8.989911,
85,-1.3517902,
86,1.7805905,
87,,
88,8.859407,
89,8.560559,
90,0.4394083,
91,,
92,4.112806,
93,7.8751674,
94,,
95,-0.56118214,
96,8.642921,
97,0.69397223,
98,3.2257552,
99,0.2553373,
100,0.15774295,
101,-0.56118214,
102,0.25523728,
103,-1.3913145,
104,8.903367,
105,2.4005022,
106,,
107,4.820986,
108,7.9114046,
109,,
110,-4.0246353,
111,6.7104163,
112,7.6325655,
113,1.3656799,
114,,
115,,
116,-0.55960476,
117,0.7042272,
118,4.112806,
119,1.0029598,
120,-0.5062272,
121,8.61392,
122,,
123,-1.3517902,
124,8.952574,
125,6.2815347,
126,0.4394083,
127,8.493838,
128,-0.8068478,
129,6.5627584,
130,8.687951,
131,-1.0665804,
132,0.7042272,
133,0.20929956,
134,,
135,7.2992005,
136,7.0786743,
137,-0.3005335,
138,6.2815347,
139,7.6325655,
140,8.937594,
141,0.17635602,
142,,
143,1.4485602,
144,-0.65004134,
145,0.085921764,
146,6.387241,
147,-0.30914187,
148,0.089874804,
149,0.20929956,
150,7.151039,
151,0.32765603,
152,8.704223,
153,7.151039,
154,1.8598452,
155,6.080457,
156,8.952574,
157,-4.4071593,
158,0.4745099,
159,0.089874804,
160,4.6806927,
161,-0.5051484,
162,0.69397223,
163,,
164,-7.407596,
165,0.9076381,
166,6.474676,
167,8.20816,
168,,
169,8.773508,
170,,
171,6.9378805,
172,3.2257552,
173,-0.30914187,
174,,
175,6.313563,
176,,
177,-8.26646,
178,1.0635917,
179,6.7104163,
180,,
181,,
182,2.0875366,
183,-7.407596,
184,-7.8482003,
185,,
186,-7.8482003,
187,0.18227485,
188,8.61392,
189,1.2394081,
190,,
191,1.0635917,
192,-1.0871766,
193,7.0786743,
194,8.476599,
195,6.474676,
196,0.32765603,
197,1.2394081,
198,8.476599,
199,8.200756,
200,1.7805905,
1,-3.2019093,
2,-0.35146976,
3,3.0600889,
4,-1.0480487,
5,-0.7351545,
6,8.968283,
7,8.109851,
8,1.4622064,
9,8.9061575,
10,1.0392907,
11,-0.14401543,
12,1.3808448,
13,7.197836,
14,-4.4061813,
15,-3.4237835,
16,8.974464,
17,3.4951036,
18,-3.6123073,
19,-0.33536148,
20,8.929276,
21,-6.5825396,
22,3.8783119,
23,,
24,-2.967435,
25,-4.348858,
26,1.7591488,
27,8.298878,
28,-0.75428724,
29,5.9496946,
30,0.8304016,
31,2.3673482,
32,8.448983,
33,8.122114,
34,0.46127072,
35,6.5597615,
36,8.952015,
37,-8.178017,
38,0.9187993,
39,0.50083655,
40,0.5061947,
41,2.3028731,
42,0.95435184,
43,0.4420098,
44,-3.8009884,
45,6.902162,
46,2.565222,
47,8.999361,
48,0.15312114,
49,1.5412097,
50,-0.18768078,
51,8.741144,
52,1.4882578,
53,8.776222,
54,3.4245958,
55,8.216255,
56,3.4245958,
57,8.902084,
58,0.79858345,
59,,
60,5.8607774,
61,0.17204267,
62,0.70867556,
63,5.829172,
64,7.4220552,
65,-0.6433474,
66,,
67,-0.8183042,
68,8.124682,
69,1.8269233,
70,1.703947,
71,2.665321,
72,8.836542,
73,0.9579054,
74,1.5454004,
75,0.79858345,
76,-0.19052383,
77,5.1893854,
78,7.8359246,
79,4.2271395,
80,2.0819387,
81,8.879053,
82,,
83,0.49419785,
84,5.170272,
85,-7.4764457,
86,2.02492,
87,,
88,8.171522,
89,8.639521,
90,0.4833671,
91,,
92,2.8963673,
93,7.8869,
94,1.413438,
95,1.1292167,
96,8.991657,
97,1.8470705,
98,4.475758,
99,0.5096192,
100,-3.3202577,
101,1.1292167,
102,0.46127072,
103,-2.8205884,
104,8.897661,
105,8.005056,
106,-3.3202577,
107,8.879053,
108,8.5937805,
109,,
110,,
111,6.892325,
112,7.6899867,
113,8.63249,
114,,
115,,
116,-2.949603,
117,3.9700482,
118,2.8963673,
119,-0.18768078,
120,1.0598031,
121,8.97945,
122,-0.7351545,
123,8.968283,
124,8.990385,
125,6.5603795,
126,1.2425709,
127,8.330249,
128,3.1060252,
129,6.4547896,
130,-4.7391887,
131,-0.6433474,
132,3.9700482,
133,6.495321,
134,,
135,8.732001,
136,8.98365,
137,1.5320342,
138,6.5603795,
139,7.6899867,
140,8.936161,
141,5.773077,
142,,
143,7.7836194,
144,-0.18411396,
145,,
146,7.532944,
147,1.0598031,
148,0.10836737,
149,-2.949603,
150,8.565157,
151,-0.38541353,
152,8.63249,
153,8.565157,
154,,
155,1.2425709,
156,8.990385,
157,-1.5129321,
158,1.825567,
159,0.10836737,
160,7.532944,
161,-2.8205884,
162,1.8470705,
163,-4.412648,
164,-3.6123073,
165,6.495321,
166,5.6358485,
167,-0.75428724,
168,,
169,8.544034,
170,-1.6306427,
171,8.611498,
172,4.475758,
173,0.5096192,
174,,
175,3.1060252,
176,,
177,8.611498,
178,7.0773683,
179,6.892325,
180,,
181,,
182,0.17204267,
183,8.124682,
184,-7.003484,
185,,
186,8.904426,
187,0.49419785,
188,8.97945,
189,6.4969296,
190,-1.6306427,
191,7.0773683,
192,4.850286,
193,8.98365,
194,8.069847,
195,-7.003484,
196,-0.38541353,
197,6.4969296,
198,8.069847,
199,7.8359246,
200,1.5320342,
1,-4.113215,
2,3.352106,
3,3.6675448,
4,-0.18745863,
5,-0.4212031,
6,8.154747,
7,8.658509,
8,2.1013107,
9,8.99556,
10,1.2803011,
11,,
12,2.5063088,
13,7.234813,
14,-2.551545,
15,,
16,8.965638,
17,3.9678645,
18,-1.6265101,
19,,
20,8.765084,
21,4.8986497,
22,3.4535046,
23,,
24,5.591623,
25,3.1105871,
26,2.9961753,
27,7.832844,
28,5.591623,
29,7.1889596,
30,1.1368295,
31,2.7406828,
32,7.225535,
33,5.2444525,
34,0.6654859,
35,8.090612,
36,8.653259,
37,,
38,1.6505934,
39,0.80640525,
40,-8.784444,
41,2.217435,
42,-0.85934824,
43,-6.8611813,
44,-1.8586619,
45,-2.7259269,
46,1.7132893,
47,8.999404,
48,0.45818532,
49,7.9077954,
50,0.5429542,
51,8.999404,
52,2.0242987,
53,8.164904,
54,5.781028,
55,8.450407,
56,5.781028,
57,8.506954,
58,1.353124,
59,-0.31783938,
